sample_id,everyday_sentence,clinical_sentence,naturalness_1to5,clinical_accuracy_1to5,register_mismatch_yn,notes
pairs_20260707T221438Z#39,"His trick knee's been acting up all week, so his doctor fitted him with a","His osteoarthritis has been acting up all week, so his doctor fitted him with a",,,,
pairs_20260710T163230Z#25,"I've been getting really bloated after meals, so I think I need to watch my","I have postprandial distension, so I think I need to watch my",,,,
pairs_20260711T131752Z#50,"My hands keep getting all tingly and numb, so I wonder if I need to take my","I have paresthesia, so I wonder if I need to take my",,,,
pairs_20260707T154345Z#18,"My lower back's been acting up for months, so at the clinic they ordered an","My lumbar radiculopathy's been acting up for months, so at the clinic they ordered an",,,,
pairs_20260710T133708Z#29,"I've been feeling washed out all week, so I probably have a","I've been feeling fatigued all week, so I probably have a",,,,
pairs_20260706T201750Z#10,"I couldn't get a wink of sleep before the flight, so at the airport shop I bought a","I had severe insomnia before the flight, so at the airport shop I bought a",,,,
pairs_20260707T154345Z#15,"After the divorce he's been a wreck, so his brother made him call a","After the divorce he's had severe depression, so his brother made him call a",,,,
pairs_20260710T092635Z#5,"I've been sweating buckets in the evenings, so I should get my","I have night sweats, so I should get my",,,,
pairs_20260707T215921Z#64,"I've been up all night counting sheep again, so this morning I brewed a","I've been up all night with insomnia again, so this morning I brewed a",,,,
pairs_20260707T023706Z#36,"Every time I eat spicy food my throat burns, so I should take some","Every time I eat spicy food I get acid reflux, so I should take some",,,,
pairs_20260711T051145Z#14,"I've been having these weird pains in my joints, so I need to see a","I've been having arthritis, so I need to see a",,,,
pairs_20260710T163230Z#23,"My chest feels tight when I'm stressed, so I should probably talk to my","I have angina when I'm stressed, so I should probably talk to my",,,,
pairs_20260711T051145Z#40,"My legs feel all tingly and weird, so I might have a","I have neuropathy in my legs, so I might have a",,,,
pairs_20260707T025842Z#5,"I've been wheezing up a storm, so I should probably call my","I've been experiencing dyspnea with bronchospasm, so I should probably call my",,,,
pairs_20260710T050657Z#45,"My stomach's been upset and I can't eat much, so I should probably take some","I have gastritis and I can't eat much, so I should probably take some",,,,
pairs_20260710T133708Z#44,"I've been getting these weird numbness spells in my fingers, so my doctor wants me to check my","I've been getting these paresthesias in my fingers, so my doctor wants me to check my",,,,
pairs_20260706T175614Z#10,"She's been wide awake counting sheep every night this week, so at the pharmacy she picked up some","She's been battling chronic insomnia every night this week, so at the pharmacy she picked up some",,,,
pairs_20260711T131752Z#48,"I keep getting these sharp pains when I swallow, so I'm worried I might have a","I have odynophagia with each swallow, so I'm worried I might have a",,,,
pairs_20260707T215921Z#68,"After the barbecue my stomach was doing flips, so on the way home I grabbed some","After the barbecue I had severe nausea, so on the way home I grabbed some",,,,
pairs_20260711T131752Z#29,"My throat's been scratchy and raw, so I think I should get some","I have pharyngitis, so I think I should get some",,,,
pairs_20260706T201750Z#4,"She's been staring at the ceiling for hours every night, so the doctor prescribed a","She's been suffering from chronic insomnia every night, so the doctor prescribed a",,,,
pairs_20260707T171223Z#59,"I've been catching some z's on the couch every afternoon, so tonight I skipped my usual","I've been having daytime hypersomnia every afternoon, so tonight I skipped my usual",,,,
pairs_20260706T210703Z#2,"When that one-sided pounding hits me at the office, I usually reach into my drawer for a","When my migraine hits me at the office, I usually reach into my drawer for a",,,,
pairs_20260711T131752Z#16,"I've been getting rashes in my skin folds, so my dermatologist prescribed an","I have intertrigo, so my dermatologist prescribed an",,,,
pairs_20260706T172135Z#1,"My ticker's been acting up all week, so I should probably call my","My arrhythmia has been acting up all week, so I should probably call my",,,,
pairs_20260711T131752Z#32,"My kids have been itching and scratching a lot at night, so the school says we need to check for","My kids have been experiencing pruritus nocturna, so the school says we need to check for",,,,
pairs_20260706T175614Z#5,"She kept getting that burning coming up her throat at dinner, so she asked the waiter for a","She kept getting gastroesophageal reflux at dinner, so she asked the waiter for a",,,,
pairs_20260707T215921Z#58,"He's been feeling really acidy since lunch, so at his desk he reached for a","He's been having acid reflux since lunch, so at his desk he reached for a",,,,
pairs_20260707T023706Z#20,"Ever since that big presentation at work, I've been in my own head way too much, so I think I should talk to a","Ever since that big presentation at work, I've been experiencing generalized anxiety, so I think I should talk to a",,,,
pairs_20260706T201750Z#9,"He's been sniffly and congested every time the grass gets cut, so before mowing he sprays some","He gets allergic rhinitis every time the grass gets cut, so before mowing he sprays some",,,,
pairs_20260706T210703Z#3,"She's been lying awake staring at the ceiling for weeks, so her GP finally wrote her a","She's been battling chronic insomnia for weeks, so her GP finally wrote her a",,,,
pairs_20260707T154345Z#2,"My stomach's tied up in knots after lunch, so I reached for an","My stomach has acid reflux after lunch, so I reached for an",,,,
pairs_20260707T023656Z#37,"That patch behind my knee is itching like crazy, so I dabbed on some","That eczema behind my knee is itching like crazy, so I dabbed on some",,,,
pairs_20260706T175614Z#9,"I'm all stuffy and sneezing from the hay fever season, so before the meeting I popped a","I'm all stuffy and sneezing from seasonal allergic rhinitis, so before the meeting I popped a",,,,
pairs_20260707T023656Z#4,"The pollen's got me all stuffed up today, so I popped an","My allergic rhinitis is flaring today, so I popped an",,,,
pairs_20260706T175614Z#7,"The pollen's really getting to me this week, so on the way home I stopped to buy some","My allergic rhinitis is really getting to me this week, so on the way home I stopped to buy some",,,,
pairs_20260710T163230Z#46,"My joints have been stiff and sore when I wake up, so the doctor says I might have a","My joints have inflammatory markers on labs, so the doctor says I might have a",,,,
pairs_20260711T051145Z#19,"My hands won't stop shaking when I'm nervous, so I might need to take a","I have essential tremor, so I might need to take a",,,,
pairs_20260707T154345Z#16,"Ever since the pollen kicked in, my nose is a faucet, so at the pharmacy I asked for an","Ever since the pollen kicked in, my allergic rhinitis flared up, so at the pharmacy I asked for an",,,,
pairs_20260711T051145Z#9,"I keep getting winded going up stairs, so I should check my","I have dyspnea on exertion, so I should check my",,,,
pairs_20260707T025842Z#13,"My shoulder's been screaming at me for weeks, so I think I need to see a","My shoulder's had chronic pain syndrome for weeks, so I think I need to see a",,,,
pairs_20260707T025842Z#24,"My skin's been flaking off like crazy, so I should grab some","My seborrheic dermatitis's been flaking off like crazy, so I should grab some",,,,
pairs_20260710T050657Z#38,"I've been getting these shooting pains down my arm, so my doctor thinks I might have a","I've been getting nerve pain radiating down my arm, so my doctor thinks I might have a",,,,
pairs_20260710T050657Z#37,"I've been feeling really spacey and disconnected lately, so I'm worried about my","I've been experiencing dissociation lately, so I'm worried about my",,,,
pairs_20260710T133708Z#42,"I've been throwing up almost every morning, so my partner thinks I might be","I have early morning nausea and vomiting, so my partner thinks I might be",,,,
pairs_20260706T201750Z#7,"That thumping behind my eyes hit me at the office, so I dimmed the screen and swallowed a","My migraine hit me at the office, so I dimmed the screen and swallowed a",,,,
pairs_20260711T051145Z#11,"I've been feeling like my heart's racing all the time, so I should wear my","I have tachycardia, so I should wear my",,,,
pairs_20260707T023704Z#2,"My stomach's been doing flips all week, so I need to watch my","I've had irritable bowel syndrome flaring up all week, so I need to watch my",,,,
pairs_20260707T221438Z#8,"His lower back's been acting up for weeks, so his doctor gave him a","His chronic lumbar pain has persisted for weeks, so his doctor gave him a",,,,
pairs_20260710T011743Z#36,"I've been feeling kind of out of it and fuzzy-headed for a week, so I should get my","I've been experiencing encephalopathy with altered mental status, so I should get my",,,,
pairs_20260710T092635Z#30,"I keep getting these flare-ups where I can't breathe right, so I need to use my","I keep experiencing acute asthma exacerbations, so I need to use my",,,,
pairs_20260707T023704Z#18,"I've been sick to my stomach all morning, so I should take some","I've been nauseous all morning, so I should take some",,,,
pairs_20260706T172135Z#2,"My dad's been forgetting where he puts his keys all the time, so we think he should visit a","My dad's been showing signs of dementia, so we think he should visit a",,,,
pairs_20260707T215921Z#11,"After the buffet he was bloated as a balloon, so he undid his","After the buffet he had abdominal distension, so he undid his",,,,
pairs_20260707T171223Z#47,"My skin's gone all blotchy after that new soap, so I dabbed on a bit of","My contact dermatitis flared after that new soap, so I dabbed on a bit of",,,,
pairs_20260707T023706Z#38,"When I climb stairs my heart starts racing, so I should probably mention it to a","When I climb stairs I experience tachycardia, so I should probably mention it to a",,,,
pairs_20260710T163230Z#30,"I've been feeling pins and needles in my feet, so I wonder if I should see a","I have paresthesia in my feet, so I wonder if I should see a",,,,
pairs_20260706T175614Z#2,"My chest is on fire after that pizza, so I reached for the","My acid reflux flared up after that pizza, so I reached for the",,,,
pairs_20260712T051903Z#9,"I've been having really bad skin breakouts, so I should apply a","I've been having severe acne, so I should apply a",,,,
pairs_20260712T051903Z#36,"My stomach's been in knots all week, so I should probably cut out my","I have irritable bowel syndrome, so I should probably cut out my",,,,
pairs_20260712T051903Z#28,"I've been feeling a bit foggy in the mornings, so my boss thinks I need to see a","I've been experiencing cognitive impairment in the mornings, so my boss thinks I need to see a",,,,
pairs_20260707T023706Z#37,"I've got these scaly spots that won't budge, so I really should see a","I've got psoriasis that won't budge, so I really should see a",,,,
pairs_20260706T210703Z#4,"He woke up at 3am with that sour burn crawling up his throat, so he stumbled to the kitchen for an","He woke up at 3am with gastroesophageal reflux, so he stumbled to the kitchen for an",,,,
pairs_20260707T023704Z#25,"His skin's gone all scaly and flaky again this winter, so he put on some","His psoriasis flared up again this winter, so he put on some",,,,
pairs_20260707T154345Z#14,"His knees have been aching in this cold, so at the store he grabbed a","His osteoarthritis has been aching in this cold, so at the store he grabbed a",,,,
pairs_20260710T050657Z#22,"My ears are ringing like crazy at work, so I'm worried about my","I have tinnitus at work, so I'm worried about my",,,,
pairs_20260710T011743Z#22,"I feel like my heart is jumping out of my chest sometimes, so I've been cutting back on my","I experience palpitations, so I've been cutting back on my",,,,
